1,1.47971e-007,,1,1.47971e-006,,1,1.47971e-005,,1,0.000147971
1.02329,1.54941e-007,,1.02329,1.54941e-006,,1.02329,1.54941e-005,,1.02329,0.000154941
1.04713,1.62239e-007,,1.04713,1.62239e-006,,1.04713,1.62239e-005,,1.04713,0.000162239
1.07152,1.69881e-007,,1.07152,1.69881e-006,,1.07152,1.69881e-005,,1.07152,0.000169881
1.09648,1.77883e-007,,1.09648,1.77883e-006,,1.09648,1.77883e-005,,1.09648,0.000177882
1.12202,1.86261e-007,,1.12202,1.86261e-006,,1.12202,1.86261e-005,,1.12202,0.00018626
1.14815,1.95033e-007,,1.14815,1.95033e-006,,1.14815,1.95033e-005,,1.14815,0.000195033
1.1749,2.04219e-007,,1.1749,2.04219e-006,,1.1749,2.04219e-005,,1.1749,0.000204218
1.20226,2.13836e-007,,1.20226,2.13836e-006,,1.20226,2.13836e-005,,1.20226,0.000213836
1.23027,2.23907e-007,,1.23027,2.23907e-006,,1.23027,2.23907e-005,,1.23027,0.000223906
1.25893,2.34451e-007,,1.25893,2.34451e-006,,1.25893,2.34451e-005,,1.25893,0.00023445
1.28825,2.45491e-007,,1.28825,2.45491e-006,,1.28825,2.45491e-005,,1.28825,0.00024549
1.31826,2.57051e-007,,1.31826,2.57051e-006,,1.31826,2.57051e-005,,1.31826,0.00025705
1.34896,2.69154e-007,,1.34896,2.69154e-006,,1.34896,2.69154e-005,,1.34896,0.000269154
1.38038,2.81827e-007,,1.38038,2.81827e-006,,1.38038,2.81827e-005,,1.38038,0.000281826
1.41254,2.95096e-007,,1.41254,2.95096e-006,,1.41254,2.95096e-005,,1.41254,0.000295095
1.44544,3.08989e-007,,1.44544,3.08989e-006,,1.44544,3.08989e-005,,1.44544,0.000308989
1.47911,3.23536e-007,,1.47911,3.23536e-006,,1.47911,3.23536e-005,,1.47911,0.000323535
1.51356,3.38767e-007,,1.51356,3.38767e-006,,1.51356,3.38767e-005,,1.51356,0.000338765
1.54882,3.54713e-007,,1.54882,3.54713e-006,,1.54882,3.54713e-005,,1.54882,0.000354712
1.58489,3.7141e-007,,1.58489,3.7141e-006,,1.58489,3.7141e-005,,1.58489,0.000371408
1.62181,3.88891e-007,,1.62181,3.88891e-006,,1.62181,3.88891e-005,,1.62181,0.00038889
1.65959,4.07194e-007,,1.65959,4.07194e-006,,1.65959,4.07194e-005,,1.65959,0.000407192
1.69824,4.26357e-007,,1.69824,4.26357e-006,,1.69824,4.26357e-005,,1.69824,0.000426356
1.7378,4.46421e-007,,1.7378,4.46421e-006,,1.7378,4.46421e-005,,1.7378,0.000446419
1.77828,4.67428e-007,,1.77828,4.67428e-006,,1.77828,4.67428e-005,,1.77828,0.000467425
1.8197,4.89421e-007,,1.8197,4.89421e-006,,1.8197,4.89421e-005,,1.8197,0.000489418
1.86209,5.12447e-007,,1.86209,5.12447e-006,,1.86209,5.12447e-005,,1.86209,0.000512445
1.90546,5.36555e-007,,1.90546,5.36555e-006,,1.90546,5.36555e-005,,1.90546,0.000536552
1.94984,5.61795e-007,,1.94984,5.61795e-006,,1.94984,5.61795e-005,,1.94984,0.000561792
1.99526,5.8822e-007,,1.99526,5.8822e-006,,1.99526,5.8822e-005,,1.99526,0.000588216
2.04174,6.15885e-007,,2.04174,6.15885e-006,,2.04174,6.15885e-005,,2.04174,0.000615881
2.0893,6.44848e-007,,2.0893,6.44848e-006,,2.0893,6.44848e-005,,2.0893,0.000644844
2.13796,6.75171e-007,,2.13796,6.75171e-006,,2.13796,6.75171e-005,,2.13796,0.000675166
2.18776,7.06916e-007,,2.18776,7.06916e-006,,2.18776,7.06916e-005,,2.18776,0.000706911
2.23872,7.4015e-007,,2.23872,7.4015e-006,,2.23872,7.4015e-005,,2.23872,0.000740144
2.29087,7.74942e-007,,2.29087,7.74942e-006,,2.29087,7.74942e-005,,2.29087,0.000774936
2.34423,8.11365e-007,,2.34423,8.11365e-006,,2.34423,8.11365e-005,,2.34423,0.000811359
2.39883,8.49496e-007,,2.39883,8.49496e-006,,2.39883,8.49496e-005,,2.39883,0.000849488
2.45471,8.89413e-007,,2.45471,8.89413e-006,,2.45471,8.89413e-005,,2.45471,0.000889405
2.51189,9.312e-007,,2.51189,9.312e-006,,2.51189,9.312e-005,,2.51189,0.000931191
2.5704,9.74944e-007,,2.5704,9.74944e-006,,2.5704,9.74944e-005,,2.5704,0.000974934
2.63027,1.02074e-006,,2.63027,1.02074e-005,,2.63027,0.000102074,,2.63027,0.00102073
2.69153,1.06867e-006,,2.69153,1.06867e-005,,2.69153,0.000106867,,2.69153,0.00106866
2.75423,1.11885e-006,,2.75423,1.11885e-005,,2.75423,0.000111885,,2.75423,0.00111884
2.81838,1.17137e-006,,2.81838,1.17137e-005,,2.81838,0.000117137,,2.81838,0.00117136
2.88403,1.22635e-006,,2.88403,1.22635e-005,,2.88403,0.000122635,,2.88403,0.00122634
2.95121,1.2839e-006,,2.95121,1.2839e-005,,2.95121,0.00012839,,2.95121,0.00128389
3.01995,1.34414e-006,,3.01995,1.34414e-005,,3.01995,0.000134414,,3.01995,0.00134412
3.0903,1.40719e-006,,3.0903,1.40719e-005,,3.0903,0.000140719,,3.0903,0.00140717
3.16228,1.47319e-006,,3.16228,1.47319e-005,,3.16228,0.000147319,,3.16228,0.00147317
3.23594,1.54226e-006,,3.23594,1.54226e-005,,3.23594,0.000154226,,3.23594,0.00154224
3.31131,1.61456e-006,,3.31131,1.61456e-005,,3.31131,0.000161456,,3.31131,0.00161453
